Pais,Poblacion (2020),Densidad,Territorio (Km²),Tasa Migracion,Tasa Fertilidad,Edad Promedio,% Poblacion Urbaba,Continente
Afganistán,39074280,60,652860,-62920,4.6,18,25 %,Asia
Albania,2877239,105,27400,-14000,1.6,36,63 %,Europa
Alemania,83830972,240,348560,543822,1.6,46,76 %,Europa
Andorra,77287,164,470,,N.A.,N.A.,88 %,Europa
Angola,33032075,26,1246700,6413,5.6,17,67 %,Africa
Antigua y Barbuda,98069,223,440,0,2,34,26 %,America
Arabia Saudita,34905942,16,2149690,134979,2.3,32,84 %,Asia
Argelia,43984569,18,2381740,-10000,3.1,29,73 %,Africa
Argentina,45267449,17,2736690,4800,2.3,32,93 %,America
Armenia,2964219,104,28470,-4998,1.8,35,63 %,Asia
Aruba,106845,593,180,201,1.9,41,44 %,America
Australia,25550683,3,7682300,158246,1.8,38,86 %,Oceania
Austria,9015361,109,82409,65000,1.5,43,57 %,Europa
Azerbaiyan,10154978,123,82658,1200,2.1,32,56 %,Asia
Bélgica,11598451,383,30280,48000,1.7,42,98 %,Europa
Bahamas,393893,39,10010,1000,1.8,32,86 %,America
Bahrain,1711057,2239,760,47800,2,32,89 %,Asia
Bangladesh,164972348,1265,130170,-369501,2.1,28,39 %,Asia
Barbados,287437,668,430,-79,1.6,40,31 %,America
Belice,398845,17,22810,1200,2.3,25,46 %,America
Benin,12175480,108,112760,-2000,4.9,19,48 %,Africa
Bermuda,62237,1246,50,,N.A.,N.A.,97 %,America
Bhutan,773069,20,38117,320,2,28,46 %,Asia
Bielorrusia,9448772,47,202910,8730,1.7,40,79 %,Asia
Bolivia,11700207,11,1083300,-9504,2.8,26,69 %,America
Bosnia y Herzegovina,3277152,64,51000,-21585,1.3,43,52 %,Europa
Botswana,2359585,4,566730,3000,2.9,24,73 %,Africa
Brasil,212821986,25,8358140,21200,1.7,33,88 %,America
Brunei,438202,83,5270,0,1.8,32,80 %,Asia
Bulgaria,6939018,64,108560,-4800,1.6,45,76 %,Europa
Burkina Faso,20997293,76,273600,-25000,5.2,18,31 %,Africa
Burundi,11948454,463,25680,2001,5.5,17,14 %,Africa
Cabo Verde,557026,138,4030,-1342,2.3,28,68 %,Africa
